outer_fold,model,parameters_json,inner_oof_problem_mae,inner_fold_mae_std
1,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08690940555666839,0.0010700555023959509
1,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09326989828030664,0.0008474859057604686
1,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08831607799952328,0.0009637122834366892
1,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.08590739688818158,0.0007628568582997769
1,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.0829134284965867,0.0008596128608751958
2,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08732621062510273,0.0013937978684564238
2,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.0889955737636027,0.0013697802625882007
2,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08376287887896874,0.001585312388564245
2,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08492291275485242,0.0014407736166953309
2,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08185896039605178,0.001550830989855639
2,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08627631094203923,0.0012479897055034108
2,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08101639169493594,0.0016700179128451822
2,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08375351913744304,0.0013476755347002912
2,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.10603997488865177,0.001587403580807819
2,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.09568661101285648,0.0015153006861058696
2,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09518458817884151,0.0016483945988939022
2,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08723111369410516,0.0017960175526069435
2,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09395293846992987,0.0014760675117183517
2,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08878149480545933,0.0016921118186830565
2,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.08620204518548889,0.0018338147886375242
2,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.0832159615659803,0.0016854568343651448
