model,problem_group_mae_primary,condition_row_mae_secondary,participant_count_weighted_mae_secondary
constant_training_mean,0.1836322362405108,0.18385074636884374,0.18089197673497415
expected_value_hard_rule_oracle,0.3614049949046598,0.36227927234907376,0.3646097459730465
ridge_engineered_oracle,0.11665061665828266,0.11665552119664302,0.11594634047994945
shallow_decision_tree_engineered_oracle,0.09504517334539468,0.09578729589147944,0.09536914460665699
