name,column_count,baseline_mae,mean_mae_increase,std_mae_increase,min_mae_increase,max_mae_increase,repeats
expected_value,5,0.08000781129428924,0.0857528929619352,0.0011574581157579105,0.08441581727227526,0.08785141338434138,10
payoff_and_risk,8,0.08000781129428924,0.044230270546349724,0.000369505809984517,0.043553919272777714,0.0448000324848252,10
probability_structure,6,0.08000781129428924,0.03457233347625082,0.00041634986560480387,0.03402490539436939,0.03518117936171966,10
ambiguity,1,0.08000781129428924,0.002343791885519918,0.00012513536748944636,0.0021707535458684313,0.0025318705442888556,10
lottery_structure,7,0.08000781129428924,0.0018180097473391957,9.858339284175591e-05,0.0016430453547065516,0.0020189792548085395,10
feedback,1,0.08000781129428924,6.0359526673998964e-05,1.1383436060153997e-05,4.42420907610791e-05,8.589363622871216e-05,10
