dimension,level,rows,structural_groups,problem_group_mae,problem_group_rmse,problem_group_mean_bias,condition_row_mae,condition_row_rmse,condition_row_mean_bias
feedback,no_feedback,2380,2380,0.08552438323886088,0.10804545039805168,0.00014841996719390857,0.08552438323886091,0.10804545039805169,0.0001484199671939078
feedback,feedback,12188,12188,0.07954776407684414,0.10056152217975808,-0.000502360463821138,0.07954776407684414,0.1005615221797581,-0.0005023604638211376
ambiguity,known_probabilities,11759,10493,0.07884088199173189,0.09928068334779455,0.0009706656150922411,0.07926118573175506,0.09990918479490891,0.0007091907454778756
ambiguity,ambiguous_b,2809,2513,0.08488030996986985,0.10833694892984976,-0.003965348970623691,0.08581128432088202,0.10946613337181665,-0.005022749657246304
expected_value_regime,b_lower_ev,5844,5222,0.07840529609271268,0.09937340883136621,0.000979222063261601,0.07876054022188794,0.09999220789765934,0.0008226130558977154
expected_value_regime,near_equal_ev,2816,2532,0.08923126671530146,0.11174820970835873,-8.76058297762381e-05,0.08989266339377369,0.11253595608597737,-0.00022989231055087363
expected_value_regime,b_higher_ev,5908,5252,0.07715452592807254,0.09731181935348487,-0.0008894530307260258,0.07780329104662922,0.09817445155960643,-0.001680687840772768
participant_count,n_at_or_below_16,9881,8830,0.08174580222355293,0.10329720531209212,0.0012392177294304615,0.08222049539775372,0.10391377497709857,0.0008653880457789333
participant_count,n_above_16,4687,4639,0.07702130959690578,0.09729458504016272,-0.0030127785475386666,0.07694804046337975,0.09726420265563165,-0.0030553507769302676
