model,parameters_json,mean_cv_mae,std_cv_mae,mean_cv_rmse,std_cv_rmse,fold_1_mae,fold_2_mae,fold_3_mae,fold_4_mae,fold_5_mae
random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08843753332140122,0.001433285135232599,0.11012930198558846,0.0016087933441323614,0.0902165674115694,0.0895867012421491,0.08727169221672898,0.08819648271767974,0.08691622301887891
random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.0902532286659932,0.0014995679097948456,0.11229745279677066,0.0016752721483692036,0.0920759785964873,0.0914127143120746,0.088747817301196,0.09021167491667756,0.08881795820353042
random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08491173710432248,0.001551004259458803,0.10732609000001377,0.0022968018769025677,0.085970369354777,0.08642334881678139,0.08243720832694745,0.08507472456374036,0.08465303445936617
random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08608222193653307,0.0017090107255373877,0.10882953780357747,0.002579370795755136,0.08722787565864536,0.08754666797943321,0.08322573611748393,0.08633935841843257,0.08607147150867031
random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08333279720420479,0.0013097025107218516,0.10454709944677196,0.0015807616378373714,0.08473984204748854,0.0843618224863838,0.0815110886424105,0.08342265061133815,0.08262858223340297
random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08789053542703638,0.001606258963072507,0.10974037749048038,0.0018686839116936053,0.08995737609821687,0.08900102439382822,0.0861933782235417,0.0877983139831582,0.08650258443643694
random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.0825305271356136,0.0014874282843278309,0.10436117888712138,0.002262586746098142,0.08354507763671168,0.08387676859612941,0.08011763912612295,0.08225267775142084,0.08286047256768317
random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08516331927360972,0.0016966518340167606,0.10769746703195908,0.0025819338161007024,0.08625149324732942,0.08680635526252173,0.08240126453184637,0.08515230467344947,0.08520517865290153
gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.10660663186098969,0.001756262357672484,0.13072683275988323,0.0023082890536362394,0.10946245991880649,0.10682612395271668,0.10538214826330422,0.10636008807637566,0.1050023390937454
gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.09606109607493503,0.0020486043545558615,0.1201002941763136,0.002694440484705558,0.09856498234473443,0.09684537224058071,0.0936989433959411,0.0969934533963787,0.09420272899704021
gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09617928340499393,0.0014391264474192139,0.11940971203110047,0.002138055699707467,0.09813970145738103,0.09674864332005666,0.09479462080181306,0.09648535959150165,0.09472809185421727
gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08830507179273583,0.0017198328597610615,0.11162644851406518,0.0024377374593762217,0.09013915916743481,0.08953873454668758,0.08601087886991995,0.08874985299857834,0.08708673338105849
gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.0943109385149822,0.001984518757840594,0.11841804530537262,0.0026160940961611773,0.09640956084752035,0.09507633356854683,0.09196277546199695,0.0956524317041043,0.09245359099274258
gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08949500955015482,0.001990527554666756,0.11337084737521934,0.0024721698461312716,0.09136144807735766,0.09061139742269797,0.08705691038428294,0.0908079209414537,0.08763737092498187
gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.0871849666403375,0.001917157524387336,0.11028426916700147,0.0025845653557113996,0.08898508287117558,0.08886340070363344,0.0847753728260642,0.08771513299279435,0.08558584380801987
gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08431191638658944,0.0017226569000698814,0.1067148506090366,0.002385988412118982,0.08555081127158222,0.08596898257549271,0.08218122873471309,0.08510333391535778,0.0827552254358013
