participant_count_n,rows,structural_groups,problem_group_mae,problem_group_rmse,problem_group_mean_bias,condition_row_mae,condition_row_rmse,condition_row_mean_bias,mae_ci_lower,mae_ci_upper,rmse_ci_lower,rmse_ci_upper
15,3233,3100,0.08425394469462641,0.1059282429087932,-0.0006634033759121997,0.08427619129141278,0.10585785132896831,-0.0007044419056432627,0.08207897595009409,0.08664892232126835,0.10332861126712028,0.10875731094877739
16,6648,6274,0.08089456525200613,0.10250299443933106,0.001459661267183112,0.08122078648917976,0.10295508178777324,0.0016288146752837403,0.07940720175139798,0.08237860937697548,0.10077468564714623,0.10437112076183579
17,2214,2194,0.07903753710334177,0.09980706980003481,-0.002005463862867734,0.07896055639249908,0.09974664689222876,-0.00190524647776188,0.0765530673353353,0.0815427049198333,0.0966573543335211,0.10272700465391213
18,1272,1272,0.076699653998639,0.09706545007999728,-0.0058955976386306334,0.076699653998639,0.09706545007999728,-0.0058955976386306334,0.07342740230018445,0.08008650791023833,0.09316929485466888,0.10088129795057685
19,593,593,0.07558002337641673,0.0961797678311752,-0.0020604215124139925,0.07558002337641673,0.0961797678311752,-0.0020604215124139925,0.07068924587478717,0.08042862306832713,0.09040620901879082,0.10211969255689109
20,201,201,0.07890147167258096,0.10000266067458259,0.011178774387357284,0.07890147167258094,0.10000266067458256,0.011178774387357284,0.07067114859849405,0.08829784966887841,0.08724196463632528,0.11576814372966343
21,48,48,0.06665984685382406,0.07992210240575126,-0.0017581658288963707,0.06665984685382406,0.07992210240575125,-0.0017581658288963724,0.05432558021947285,0.07983162950972915,0.06690599518616511,0.09259052603869711
22,8,8,0.05578935147670423,0.0666153855945383,-0.025041127367747995,0.05578935147670423,0.0666153855945383,-0.025041127367747995,0.030342039898213706,0.08004043991979046,0.040920311662631034,0.08646719754204109
23,5,5,0.07681758971069887,0.09453220604915484,-0.03983319173072349,0.07681758971069887,0.09453220604915484,-0.03983319173072349,0.028875565530766867,0.12492473281619718,0.03479663544576121,0.13346052621427792
24,7,7,0.06523896060591045,0.08844474887778936,0.007280917811443681,0.06523896060591043,0.08844474887778934,0.0072809178114436775,0.024825485090886543,0.11466736081438984,0.037999976300239116,0.1303443440697955
25,3,3,0.04278565960262232,0.05703467094219997,0.04048369116887124,0.04278565960262232,0.05703467094219997,0.04048369116887124,0.0034529526506266173,0.09364840959571274,0.0034529526506266177,0.09364840959571274
26,1,1,0.02699844524942896,0.02699844524942896,0.02699844524942896,0.02699844524942896,0.02699844524942896,0.02699844524942896,0.02699844524942896,0.02699844524942896,0.02699844524942896,0.02699844524942896
27,3,3,0.09000157947217921,0.10841920241470147,-0.018554904979961314,0.09000157947217921,0.10841920241470147,-0.018554904979961314,0.014814421424536761,0.1628347266782108,0.014814421424536761,0.1628347266782108
28,2,2,0.050516480986236734,0.06518374794797824,-0.050516480986236734,0.050516480986236734,0.06518374794797824,-0.050516480986236734,0.009321746549506349,0.09171121542296712,0.009321746549506349,0.09171121542296712
30,32,32,0.07225803549678814,0.08647402101483885,-0.026647672774701866,0.07225803549678814,0.08647402101483885,-0.026647672774701866,0.05605915400910599,0.08801285842092747,0.06872409683527236,0.1029560193228008
31,86,86,0.06620484524236596,0.0788566173993869,-0.0030435578802376273,0.06620484524236596,0.0788566173993869,-0.0030435578802376273,0.05725718143951791,0.07578226770692632,0.06938360217079523,0.08817395753419627
32,152,150,0.0721833698261383,0.08723594542468192,-0.00834141813577078,0.07191809261109769,0.08696297015041651,-0.008916166600866585,0.06443800076233942,0.08060101215285898,0.07816817938363606,0.09695155489628739
33,60,60,0.06076865137548799,0.08297911681180828,-0.01195365646141761,0.06076865137548799,0.08297911681180828,-0.01195365646141761,0.047222431276255326,0.07617635095195367,0.06386920941367093,0.10099002873347646
